STATION,NAME,DATE,PRCP,TMAX,TMIN
VMM00048855,"DANANG INTERNATIONAL, VM",2/6/2003,0.03,23,17
VMM00048855,"DANANG INTERNATIONAL, VM",2/7/2003,0,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/8/2003,0,26,17
VMM00048855,"DANANG INTERNATIONAL, VM",2/9/2003,0,27,21
VMM00048855,"DANANG INTERNATIONAL, VM",2/10/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/11/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/12/2003,0,27,23
VMM00048855,"DANANG INTERNATIONAL, VM",2/13/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/14/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/15/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/16/2003,0, ,22
VMM00048855,"DANANG INTERNATIONAL, VM",2/17/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/18/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/19/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/20/2003,0,28,23
VMM00048855,"DANANG INTERNATIONAL, VM",2/21/2003,0,29,23
VMM00048855,"DANANG INTERNATIONAL, VM",2/22/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/23/2003,0, ,22
VMM00048855,"DANANG INTERNATIONAL, VM",2/24/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/25/2003,0,28,22
VMM00048855,"DANANG INTERNATIONAL, VM",2/26/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/27/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",2/28/2003,0, ,21
VMM00048855,"DANANG INTERNATIONAL, VM",3/1/2003,0,29,23
VMM00048855,"DANANG INTERNATIONAL, VM",3/2/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/3/2003,0,32,23
VMM00048855,"DANANG INTERNATIONAL, VM",3/4/2003,0, ,24
VMM00048855,"DANANG INTERNATIONAL, VM",3/5/2003,0,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/6/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",3/7/2003,0.04,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/8/2003,0,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/9/2003,0,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/10/2003,0.04,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/11/2003,0.04, , 
VMM00048855,"DANANG INTERNATIONAL, VM",3/12/2003,0.28,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/13/2003,0,28,21
VMM00048855,"DANANG INTERNATIONAL, VM",3/14/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/15/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/16/2003,0,30,21
VMM00048855,"DANANG INTERNATIONAL, VM",3/17/2003,0,31,22
VMM00048855,"DANANG INTERNATIONAL, VM",3/18/2003,0,30,23
VMM00048855,"DANANG INTERNATIONAL, VM",3/19/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/20/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/21/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/22/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/23/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/24/2003,0,28,22
VMM00048855,"DANANG INTERNATIONAL, VM",3/25/2003,0.04,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/26/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/27/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/28/2003,0,29,22
VMM00048855,"DANANG INTERNATIONAL, VM",3/29/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",3/30/2003,0,31,22
VMM00048855,"DANANG INTERNATIONAL, VM",3/31/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/1/2003,0.1,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/2/2003,0.35,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/3/2003,0,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",4/4/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/5/2003,0,31,21
VMM00048855,"DANANG INTERNATIONAL, VM",4/6/2003,0,31,24
VMM00048855,"DANANG INTERNATIONAL, VM",4/7/2003,0,31,25
VMM00048855,"DANANG INTERNATIONAL, VM",4/8/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/9/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/10/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/11/2003,0,31,23
VMM00048855,"DANANG INTERNATIONAL, VM",4/12/2003,0,31,24
VMM00048855,"DANANG INTERNATIONAL, VM",4/13/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",4/14/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/15/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/16/2003,0,31,23
VMM00048855,"DANANG INTERNATIONAL, VM",4/17/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/18/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/19/2003,0,32,24
VMM00048855,"DANANG INTERNATIONAL, VM",4/20/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",4/21/2003,0,32,22
VMM00048855,"DANANG INTERNATIONAL, VM",4/22/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/23/2003,0,32,23
VMM00048855,"DANANG INTERNATIONAL, VM",4/24/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/25/2003,0,32,25
VMM00048855,"DANANG INTERNATIONAL, VM",4/26/2003,0.02,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/27/2003,0.04,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",4/28/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",4/29/2003,0.06, , 
VMM00048855,"DANANG INTERNATIONAL, VM",4/30/2003,0.12, , 
VMM00048855,"DANANG INTERNATIONAL, VM",5/1/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/2/2003,0,31,23
VMM00048855,"DANANG INTERNATIONAL, VM",5/3/2003,2.31,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/4/2003,0, ,25
VMM00048855,"DANANG INTERNATIONAL, VM",5/5/2003,0,37,26
VMM00048855,"DANANG INTERNATIONAL, VM",5/6/2003,0,37,26
VMM00048855,"DANANG INTERNATIONAL, VM",5/7/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",5/8/2003,0,33,27
VMM00048855,"DANANG INTERNATIONAL, VM",5/9/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/10/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/11/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/12/2003,0.52,32,25
VMM00048855,"DANANG INTERNATIONAL, VM",5/13/2003,0.01,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/14/2003,0,33,26
VMM00048855,"DANANG INTERNATIONAL, VM",5/15/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/16/2003,0,34,26
VMM00048855,"DANANG INTERNATIONAL, VM",5/17/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",5/18/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/19/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/20/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/21/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/22/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/23/2003,0,34,24
VMM00048855,"DANANG INTERNATIONAL, VM",5/24/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/25/2003,0.98,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/26/2003,0.02,35, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/27/2003,0.01,34,26
VMM00048855,"DANANG INTERNATIONAL, VM",5/28/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",5/29/2003,0.34,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/30/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",5/31/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/1/2003,1.01,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/2/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/3/2003,0,33,26
VMM00048855,"DANANG INTERNATIONAL, VM",6/4/2003,0.14,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/5/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/6/2003,0.04,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/7/2003,0,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/8/2003,0, ,27
VMM00048855,"DANANG INTERNATIONAL, VM",6/9/2003,0, ,27
VMM00048855,"DANANG INTERNATIONAL, VM",6/10/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",6/11/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",6/12/2003,0,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/13/2003,0, ,27
VMM00048855,"DANANG INTERNATIONAL, VM",6/14/2003,0.01,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/15/2003,0.36, , 
VMM00048855,"DANANG INTERNATIONAL, VM",6/16/2003,0.84,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/17/2003,0,32,24
VMM00048855,"DANANG INTERNATIONAL, VM",6/18/2003,1.04,33,26
VMM00048855,"DANANG INTERNATIONAL, VM",6/19/2003,0.06,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/20/2003,0.03,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/21/2003,0.09,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/22/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/23/2003,0,34,25
VMM00048855,"DANANG INTERNATIONAL, VM",6/24/2003,0,35, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/25/2003,0,37,25
VMM00048855,"DANANG INTERNATIONAL, VM",6/26/2003,0,38, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/27/2003,0,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/28/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/29/2003,0.14,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",6/30/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/1/2003,0,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",7/2/2003,0,33,26
VMM00048855,"DANANG INTERNATIONAL, VM",7/3/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/4/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/5/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/6/2003,0,34,24
VMM00048855,"DANANG INTERNATIONAL, VM",7/7/2003,0, ,25
VMM00048855,"DANANG INTERNATIONAL, VM",7/8/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",7/9/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/10/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/11/2003,0.34,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/12/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/13/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/14/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/15/2003,0,34,24
VMM00048855,"DANANG INTERNATIONAL, VM",7/16/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/17/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/18/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/19/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/20/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/21/2003,0,33,27
VMM00048855,"DANANG INTERNATIONAL, VM",7/22/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/23/2003,0,36,26
VMM00048855,"DANANG INTERNATIONAL, VM",7/24/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/25/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/26/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/27/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/28/2003,0,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",7/29/2003,0.1, , 
VMM00048855,"DANANG INTERNATIONAL, VM",7/30/2003,0.06,35, 
VMM00048855,"DANANG INTERNATIONAL, VM",7/31/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",8/1/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/2/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",8/3/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/4/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/5/2003,0.43,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/6/2003,0.09, , 
VMM00048855,"DANANG INTERNATIONAL, VM",8/7/2003,1.52,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/8/2003,0.17,34,25
VMM00048855,"DANANG INTERNATIONAL, VM",8/9/2003,0,37,26
VMM00048855,"DANANG INTERNATIONAL, VM",8/10/2003,0.07,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/11/2003,0,35,27
VMM00048855,"DANANG INTERNATIONAL, VM",8/12/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/13/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/14/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/15/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/16/2003,0,36, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/17/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/18/2003,0.04,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",8/19/2003,0.87,33,22
VMM00048855,"DANANG INTERNATIONAL, VM",8/20/2003,0,31,24
VMM00048855,"DANANG INTERNATIONAL, VM",8/21/2003,0,33,26
VMM00048855,"DANANG INTERNATIONAL, VM",8/22/2003,0.08,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/23/2003,0.03,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/24/2003,0.06, , 
VMM00048855,"DANANG INTERNATIONAL, VM",8/25/2003,0,33,25
VMM00048855,"DANANG INTERNATIONAL, VM",8/26/2003,0,35, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/27/2003,0,37, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/28/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/29/2003,0,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",8/30/2003,0,33,25
VMM00048855,"DANANG INTERNATIONAL, VM",8/31/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",9/1/2003,0.94,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/2/2003,0.18,34, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/3/2003,0.19,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/4/2003,0,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",9/5/2003,0.19,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/6/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/7/2003,0.07,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/8/2003,0.25,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/9/2003,0.09,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/10/2003,0.44,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/11/2003,1.72,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/12/2003,0.04,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/13/2003,2.27,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/14/2003,0.65,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/15/2003,0.72,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/16/2003,0.35,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/17/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/18/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/19/2003,0.07,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/20/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/21/2003,0,33,24
VMM00048855,"DANANG INTERNATIONAL, VM",9/22/2003,0,33, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/23/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/24/2003,1.18,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/25/2003,5.35,25, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/26/2003,2.43,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/27/2003,0, ,23
VMM00048855,"DANANG INTERNATIONAL, VM",9/28/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/29/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",9/30/2003,1.68,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/1/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",10/2/2003,2.72,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/3/2003,3.34,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/4/2003,1.23,30,23
VMM00048855,"DANANG INTERNATIONAL, VM",10/5/2003,0.37,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/6/2003,0.35,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/7/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/8/2003,0,31,23
VMM00048855,"DANANG INTERNATIONAL, VM",10/9/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/10/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",10/11/2003,0,31,23
VMM00048855,"DANANG INTERNATIONAL, VM",10/12/2003,0,32, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/13/2003,0,32,24
VMM00048855,"DANANG INTERNATIONAL, VM",10/14/2003,0.72,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/15/2003,0.63,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/16/2003,3.57,28,23
VMM00048855,"DANANG INTERNATIONAL, VM",10/17/2003,0.78,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/18/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",10/19/2003,0.34, , 
VMM00048855,"DANANG INTERNATIONAL, VM",10/20/2003,0.49,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/21/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/22/2003,0,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/23/2003,0,29,21
VMM00048855,"DANANG INTERNATIONAL, VM",10/24/2003,0.01,29,22
VMM00048855,"DANANG INTERNATIONAL, VM",10/25/2003,0.01,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/26/2003,0.02,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/27/2003,0.04, ,21
VMM00048855,"DANANG INTERNATIONAL, VM",10/28/2003,0.14,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/29/2003,0.1,29,22
VMM00048855,"DANANG INTERNATIONAL, VM",10/30/2003,0.25,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",10/31/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/1/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/2/2003,0,29,20
VMM00048855,"DANANG INTERNATIONAL, VM",11/3/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/4/2003,0,29,19
VMM00048855,"DANANG INTERNATIONAL, VM",11/5/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/6/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/7/2003,0, ,20
VMM00048855,"DANANG INTERNATIONAL, VM",11/8/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/9/2003,0,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/10/2003,1.2,27,23
VMM00048855,"DANANG INTERNATIONAL, VM",11/11/2003,0.64,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/12/2003,0.28,25, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/13/2003,0.19,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/14/2003,1.48,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/15/2003,0.18,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/16/2003,0,29,23
VMM00048855,"DANANG INTERNATIONAL, VM",11/17/2003,1.07,25,23
VMM00048855,"DANANG INTERNATIONAL, VM",11/18/2003,0.4,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/19/2003,0,31, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/20/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",11/21/2003,0,30, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/22/2003,0.27,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/23/2003,0.22,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/24/2003,2.64,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/25/2003,0.09,29, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/26/2003,0,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/27/2003,0.01,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/28/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",11/29/2003,1.18,22, 
VMM00048855,"DANANG INTERNATIONAL, VM",11/30/2003,0.02, , 
VMM00048855,"DANANG INTERNATIONAL, VM",12/1/2003,0.02,26,19
VMM00048855,"DANANG INTERNATIONAL, VM",12/2/2003,0.22,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/3/2003,0.01,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/4/2003,0.05,27,18
VMM00048855,"DANANG INTERNATIONAL, VM",12/5/2003,0.5,26,22
VMM00048855,"DANANG INTERNATIONAL, VM",12/6/2003,0.05,27,22
VMM00048855,"DANANG INTERNATIONAL, VM",12/7/2003,0.15,27,22
VMM00048855,"DANANG INTERNATIONAL, VM",12/8/2003,0.31,28, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/9/2003,2.05,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/10/2003,0.24,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/11/2003,0.17,27, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/12/2003,0.03,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/13/2003,0.54,21, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/14/2003,0.04, , 
VMM00048855,"DANANG INTERNATIONAL, VM",12/15/2003,0.26,23, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/16/2003,0.05,22, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/17/2003,0.04,21, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/18/2003,0.04,26, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/19/2003,0.31,22, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/20/2003,0.53,19,17
VMM00048855,"DANANG INTERNATIONAL, VM",12/21/2003,0.03, ,17
VMM00048855,"DANANG INTERNATIONAL, VM",12/22/2003,0.06, ,17
VMM00048855,"DANANG INTERNATIONAL, VM",12/23/2003,0,24, 
VMM00048855,"DANANG INTERNATIONAL, VM",12/24/2003,0, , 
VMM00048855,"DANANG INTERNATIONAL, VM",12/25/2003,0.04,24,17
VMM00048855,"DANANG INTERNATIONAL, VM",12/26/2003,0.15,23, 
